instancias/instancia26.txt_3_currentGA	instancias/instancia26.txt_3_bestGA	
6.23449e+06	5.75721e+06	
6.23094e+06	5.75721e+06	
6.24264e+06	5.75721e+06	
6.24264e+06	5.75721e+06	
6.23035e+06	5.75721e+06	
6.21665e+06	5.75721e+06	
6.22832e+06	5.75721e+06	
6.22832e+06	5.75721e+06	
6.22832e+06	5.75721e+06	
6.23038e+06	5.75721e+06	
6.22832e+06	5.75721e+06	
6.20288e+06	5.75721e+06	
6.20288e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.20202e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09026e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.07973e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.09971e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.07857e+06	5.75721e+06	
6.16309e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.10183e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.09189e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
6.08244e+06	5.75721e+06	
