instancia26.txt_2_best	instancia26.txt_2_current	
5.8022e+06	6.09738e+06	
5.8022e+06	6.15523e+06	
5.8022e+06	6.05308e+06	
5.8022e+06	6.17927e+06	
5.8022e+06	6.00766e+06	
5.8022e+06	5.97592e+06	
5.8022e+06	6.07071e+06	
5.8022e+06	6.18606e+06	
5.8022e+06	6.09118e+06	
5.8022e+06	6.11439e+06	
5.8022e+06	6.042e+06	
5.79646e+06	6.05443e+06	
5.79646e+06	6.14857e+06	
5.79646e+06	6.12346e+06	
5.79646e+06	6.17047e+06	
5.79646e+06	6.10717e+06	
5.79646e+06	6.17307e+06	
5.79646e+06	6.04721e+06	
5.79646e+06	6.08078e+06	
5.79646e+06	6.09735e+06	
5.79646e+06	6.02651e+06	
5.79646e+06	6.06508e+06	
5.79646e+06	6.07058e+06	
5.79646e+06	6.04508e+06	
5.79646e+06	6.07645e+06	
5.79646e+06	6.0684e+06	
5.79646e+06	6.04326e+06	
5.79646e+06	6.01021e+06	
5.79646e+06	6.14923e+06	
5.79646e+06	6.04227e+06	
5.79646e+06	6.18739e+06	
5.79646e+06	6.13926e+06	
5.79646e+06	6.06409e+06	
5.79646e+06	6.07964e+06	
5.79646e+06	6.05634e+06	
5.79646e+06	6.14627e+06	
5.79646e+06	6.06674e+06	
5.79646e+06	6.25839e+06	
5.79646e+06	5.99211e+06	
5.79646e+06	6.14133e+06	
5.79646e+06	6.07202e+06	
5.79646e+06	6.03026e+06	
5.79646e+06	6.08106e+06	
5.79646e+06	6.07067e+06	
5.79646e+06	6.19164e+06	
5.79646e+06	6.01477e+06	
5.79646e+06	6.14409e+06	
5.79646e+06	6.0399e+06	
5.79646e+06	6.08638e+06	
5.79646e+06	6.08375e+06	
5.79646e+06	6.09101e+06	
5.79646e+06	6.06224e+06	
5.79646e+06	6.04341e+06	
5.79646e+06	6.08469e+06	
5.79646e+06	6.2408e+06	
5.79646e+06	5.96844e+06	
5.79646e+06	6.08368e+06	
5.79646e+06	6.1237e+06	
5.79646e+06	6.14693e+06	
5.79524e+06	6.11219e+06	
5.79524e+06	6.10829e+06	
5.79524e+06	6.08142e+06	
5.79524e+06	6.19726e+06	
5.79524e+06	6.07273e+06	
5.79524e+06	6.22432e+06	
5.79524e+06	6.02211e+06	
5.79524e+06	6.1781e+06	
5.79524e+06	6.11519e+06	
5.79524e+06	6.05497e+06	
5.79524e+06	6.05594e+06	
5.79524e+06	6.22578e+06	
5.79524e+06	6.1668e+06	
5.79524e+06	6.21485e+06	
5.79524e+06	6.16166e+06	
5.79524e+06	5.96302e+06	
5.79522e+06	6.05739e+06	
5.79522e+06	6.13854e+06	
5.79522e+06	6.18016e+06	
5.79522e+06	6.04536e+06	
5.79522e+06	6.06041e+06	
5.79522e+06	6.12731e+06	
5.79522e+06	6.11568e+06	
5.79516e+06	6.03194e+06	
5.79516e+06	6.21653e+06	
5.79516e+06	6.12634e+06	
5.79516e+06	5.98487e+06	
5.79516e+06	6.07736e+06	
5.79516e+06	6.26074e+06	
5.79516e+06	6.05092e+06	
5.79516e+06	6.01459e+06	
5.79516e+06	6.22292e+06	
5.79516e+06	6.05691e+06	
5.79516e+06	6.07343e+06	
5.79516e+06	6.14899e+06	
5.79516e+06	6.06813e+06	
5.79516e+06	6.06028e+06	
5.79516e+06	6.09911e+06	
5.79516e+06	6.20327e+06	
5.79516e+06	6.1471e+06	
5.79516e+06	6.0982e+06	
5.79516e+06	6.04047e+06	
5.79516e+06	6.04231e+06	
5.79516e+06	6.17196e+06	
