instancia16.txt_5_currentSA	instancia16.txt_5_bestSA	instancia16.txt_5_currentTS	instancia16.txt_5_bestTS	instancia16.txt_5_currentGrasp	instancia16.txt_5_bestGrasp	instancia16.txt_5_currentIG	instancia16.txt_5_bestIG	
102.6	88.4	68.6	68.6	94.2	68.2	0	0	
101.8	88.4	68.6	68.6	92.2	68.2	0	0	
98.4	88.4	68.6	68.6	88.2	68.2	0	0	
102.4	88.4	68.6	68.6	84	68.2	0	0	
101.8	88.4	68.6	68.6	80	68.2	0	0	
102.4	88.4	68.6	68.6	78.2	68.2	0	0	
94.4	88.4	68.6	68.6	70.2	68.2	0	0	
90.4	88.4	68.6	68.6	68.2	68.2	0	0	
90.4	88.4	68.6	68.6	118.6	68.2	0	0	
90.4	88.4	68.6	68.6	118.6	68.2	0	0	
84	84	68.6	68.6	110.4	68.2	0	0	
90	84	68.6	68.6	106.4	68.2	0	0	
90	84	68.6	68.6	100.2	68.2	0	0	
90	84	68.6	68.6	98.2	68.2	0	0	
82	82	68.6	68.6	94.2	68.2	0	0	
82.8	82	68.6	68.6	92.2	68.2	0	0	
82.8	82	68.6	68.6	88.2	68.2	0	0	
84.8	82	68.6	68.6	84	68.2	0	0	
94.8	82	68.6	68.6	80	68.2	0	0	
94.8	82	68.6	68.6	78.2	68.2	0	0	
94.8	82	68.6	68.6	70.2	68.2	0	0	
104.2	82	68.6	68.6	68.2	68.2	0	0	
103	82	68.6	68.6	118.6	68.2	0	0	
98.6	82	68.6	68.6	118.6	68.2	0	0	
113.8	82	68.6	68.6	110.4	68.2	0	0	
113.8	82	68.6	68.6	106.4	68.2	0	0	
122	82	68.6	68.6	100.2	68.2	0	0	
107.8	82	68.6	68.6	98.2	68.2	0	0	
119.2	82	68.6	68.6	94.2	68.2	0	0	
112.6	82	68.6	68.6	92.2	68.2	0	0	
108	82	68.6	68.6	88.2	68.2	0	0	
115.8	82	68.6	68.6	84	68.2	0	0	
109.8	82	68.6	68.6	80	68.2	0	0	
113.6	82	68.6	68.6	78.2	68.2	0	0	
110.2	82	68.6	68.6	70.2	68.2	0	0	
