instancia26.txt_4_currentFirst	instancia26.txt_4_bestFirst	instancia26.txt_4_currentBest	instancia26.txt_4_bestBest	
5.50246e+06	5.50246e+06	5.50522e+06	5.49782e+06	
5.50158e+06	5.50158e+06	5.5024e+06	5.49782e+06	
5.50147e+06	5.50147e+06	5.50142e+06	5.49782e+06	
5.50071e+06	5.50071e+06	5.501e+06	5.49782e+06	
5.50055e+06	5.50055e+06	5.50079e+06	5.49782e+06	
5.49997e+06	5.49997e+06	5.50067e+06	5.49782e+06	
5.49993e+06	5.49993e+06	5.49951e+06	5.49782e+06	
5.49988e+06	5.49988e+06	5.49943e+06	5.49782e+06	
6.04779e+06	5.49988e+06	5.49935e+06	5.49782e+06	
5.94592e+06	5.49988e+06	6.11604e+06	5.49782e+06	
5.9231e+06	5.49988e+06	6.09038e+06	5.49782e+06	
5.87819e+06	5.49988e+06	5.7713e+06	5.49782e+06	
5.85359e+06	5.49988e+06	5.69659e+06	5.49782e+06	
5.85264e+06	5.49988e+06	5.64392e+06	5.49782e+06	
5.80709e+06	5.49988e+06	5.61695e+06	5.49782e+06	
5.79756e+06	5.49988e+06	5.58417e+06	5.49782e+06	
5.79372e+06	5.49988e+06	5.56899e+06	5.49782e+06	
5.78882e+06	5.49988e+06	5.56202e+06	5.49782e+06	
5.78176e+06	5.49988e+06	5.55673e+06	5.49782e+06	
5.76804e+06	5.49988e+06	5.55321e+06	5.49782e+06	
5.76574e+06	5.49988e+06	5.54995e+06	5.49782e+06	
5.76263e+06	5.49988e+06	5.54403e+06	5.49782e+06	
5.76008e+06	5.49988e+06	5.54041e+06	5.49782e+06	
5.75764e+06	5.49988e+06	5.53602e+06	5.49782e+06	
5.75066e+06	5.49988e+06	5.53103e+06	5.49782e+06	
5.73443e+06	5.49988e+06	5.52033e+06	5.49782e+06	
5.73138e+06	5.49988e+06	5.51667e+06	5.49782e+06	
5.73026e+06	5.49988e+06	5.51497e+06	5.49782e+06	
5.72374e+06	5.49988e+06	5.51434e+06	5.49782e+06	
5.71771e+06	5.49988e+06	5.51397e+06	5.49782e+06	
5.71663e+06	5.49988e+06	6.11604e+06	5.49782e+06	
5.71601e+06	5.49988e+06	6.13659e+06	5.49782e+06	
5.7008e+06	5.49988e+06	5.95154e+06	5.49782e+06	
5.69837e+06	5.49988e+06	5.84198e+06	5.49782e+06	
5.69108e+06	5.49988e+06	5.75957e+06	5.49782e+06	
5.69036e+06	5.49988e+06	5.70361e+06	5.49782e+06	
5.67473e+06	5.49988e+06	5.64911e+06	5.49782e+06	
5.67286e+06	5.49988e+06	5.62142e+06	5.49782e+06	
5.66208e+06	5.49988e+06	5.59661e+06	5.49782e+06	
5.65762e+06	5.49988e+06	5.57887e+06	5.49782e+06	
5.64754e+06	5.49988e+06	5.56745e+06	5.49782e+06	
5.64419e+06	5.49988e+06	5.55843e+06	5.49782e+06	
5.64111e+06	5.49988e+06	5.54991e+06	5.49782e+06	
5.62978e+06	5.49988e+06	5.54089e+06	5.49782e+06	
5.61524e+06	5.49988e+06	5.5317e+06	5.49782e+06	
5.61399e+06	5.49988e+06	5.52515e+06	5.49782e+06	
5.60948e+06	5.49988e+06	5.51879e+06	5.49782e+06	
5.59973e+06	5.49988e+06	5.51676e+06	5.49782e+06	
5.59773e+06	5.49988e+06	5.5158e+06	5.49782e+06	
5.59491e+06	5.49988e+06	5.51463e+06	5.49782e+06	
5.5913e+06	5.49988e+06	5.5139e+06	5.49782e+06	
5.58228e+06	5.49988e+06	5.51202e+06	5.49782e+06	
